Hypothesis,Category,Observed_Diagnostic_Value,Observed_Production_Value,Diagnostic_Impact,Recovery_Action
A. Leakage in 200K benchmark,Data Integrity,100% artificial candidate recall (gt[eid] injected into candidate sets in line 401),47.95% candidate recall on real test sets,Critical,"Created strict 30K holdout with zero S1 overlap and removed all gt[eid] leakage from candidate pools"
B. Different candidate generator,Blocking Architecture,"Inverted index with posting lists capped at 30/60 and purged","52.05% of test entities (901,807 S1) had 0 candidates generated",Critical,"Implement multi-channel inverted indexing with frequency-weighted ranking without purging keys"
C. Different feature extractor,Feature Alignment,Unified28FeatureExtractor (28 dimensional feature matrix),4-component heuristic score_pair_full without ML,High,Enforce single authoritative Unified28FeatureExtractor across train and inference
D. Different threshold,Decision Calibration,"tau=0.88, high_conf=0.70 tuned on artificial candidate pool","tau=0.53, high_conf=0.75 without cardinality constraints",High,Calibrate threshold on disjoint 30K calibration split with realistic candidates
E. Different decision rules,Cardinality Control,Uncapped multi-match up to 25 candidates,"Up to 40 matches per S1 entity accepted, causing massive false merges",Critical,"Add cardinality ceiling (max 10 matches) with margin competition (GT max is 11, mean is 3.46)"
F. Different output generator,Output Formatting,Official TSV schema compliant,Official TSV schema compliant,Low,Format verified: correct column names and tab separation preserved
G. Test country distribution,Domain Shift,US (60%) and India (40%),"US (38.3%), India (46.7%), France (15.0%)",Medium,Ensure country partition logic handles open-set country strings dynamically
H. France / open-set handling,Text Preprocessing,Zero French data in training split,61.33% empty predictions on France test entities,High,"Add French legal suffix handling (sa, sas, sarl), diacritic folding, and 5-digit postal code parsing"
I. Final candidate pruning,Candidate Selection,Unordered set truncation [:max_k] dropped true matches,8.75% candidate recall under random [:100] truncation,Critical,"Implement composite similarity ranking (3*name + 2*addr + 4*num + 5*exact) before pruning to top-K"
J. Final inference script mismatch,Deployment Consistency,Trained LightGBM model saved to challenger_lgb_28d.txt,Production script ran raw heuristic and never loaded LightGBM,Critical,Replace disconnected heuristic inference with unified production pipeline loading trained LightGBM
